Student_ID,Attendance,Study_Hours,Internal_Marks,Pass/Fail
1,78,3.9,84,Pass
2,91,3.6,85,Pass
3,68,5.8,46,Fail
4,54,5.2,67,Fail
5,82,4.7,53,Pass
6,47,3.7,98,Fail
7,60,3.9,99,Fail
8,78,5.8,40,Fail
9,97,4,45,Fail
10,58,2.4,88,Fail
11,62,2.5,99,Fail
12,50,1.8,32,Fail
13,50,1.1,49,Fail
14,63,3.1,88,Fail
15,92,3,65,Pass
16,75,2.5,48,Fail
17,79,1.1,96,Fail
18,63,2,48,Fail
19,42,4.6,49,Fail
20,61,5,81,Fail
21,92,4,62,Pass
22,41,5.6,69,Fail
23,63,4.3,68,Fail
24,83,5.6,30,Fail
25,69,5.3,40,Fail
26,77,3.2,86,Pass
27,41,1.5,79,Fail
28,99,2.9,52,Pass
29,60,4.3,60,Fail
30,72,4.3,71,Pass
31,51,4,36,Fail
32,97,2.4,45,Fail
33,61,3.8,89,Fail
34,83,2.9,31,Fail
35,64,5.9,30,Fail
36,88,5.2,77,Pass
37,66,4.6,41,Fail
38,98,2.2,98,Fail
39,81,2.3,66,Fail
40,67,1.2,61,Fail
41,99,4.6,38,Fail
42,55,1.6,48,Fail
43,54,3.2,77,Fail
44,86,2,32,Fail
45,90,5.5,49,Fail
46,83,3.4,53,Pass
47,94,3.8,83,Pass
48,91,4.5,62,Pass
49,96,1.7,53,Fail
50,42,4,65,Fail
51,76,3.7,67,Pass
52,90,2,54,Fail
53,46,5.7,47,Fail
54,60,4,95,Fail
55,48,4.5,83,Fail
56,78,5.4,64,Pass
57,57,4.1,90,Fail
58,43,2.5,70,Fail
59,64,1.5,62,Fail
60,99,3.3,97,Pass
61,53,2.1,62,Fail
62,89,3.1,43,Fail
63,97,5.4,50,Fail
64,48,2.6,77,Fail
65,65,1.6,49,Fail
66,92,2.8,37,Fail
67,41,5.5,36,Fail
68,59,2.4,96,Fail
69,67,4.2,46,Fail
70,86,1,62,Fail
71,99,2.8,77,Pass
72,46,2.5,88,Fail
73,83,1.8,51,Fail
74,47,3.7,59,Fail
75,86,3.4,67,Pass
76,74,4.5,80,Pass
77,53,2.3,83,Fail
78,56,2.2,37,Fail
79,75,1.8,56,Fail
80,89,2.1,56,Fail
81,79,3.8,50,Fail
82,43,3,59,Fail
83,41,1.3,57,Fail
84,45,2.3,93,Fail
85,93,2.2,98,Fail
86,81,4.5,90,Pass
87,43,4.6,77,Fail
88,93,1.7,48,Fail
89,68,6,33,Fail
90,57,2.3,64,Fail
91,65,5.9,93,Fail
92,83,3.1,78,Pass
93,73,1.2,46,Fail
94,49,2.7,73,Fail
95,75,4.2,59,Pass
96,53,4.4,75,Fail
97,70,3.7,35,Fail
98,87,3.2,66,Pass
99,54,3.8,53,Fail
100,47,4,75,Fail
